date,close,volume,open,high,low
14:48,76.34,"14,169,882",77.84,78,76.21
1/9/15,77.74,21146060,78.2,78.62,77.2
1/8/15,78.175,23931830,76.74,78.23,76.08
1/7/15,76.15,22015250,76.76,77.36,75.82
1/6/15,76.15,27365180,77.23,77.59,75.365
1/5/15,77.19,26392340,77.98,79.2455,76.86
1/2/15,78.45,18141830,78.58,78.93,77.7
12/31/14,78.02,20004710,79.54,79.8,77.86
12/30/14,79.22,14354170,79.85,80.59,79.1
12/29/14,80.02,14101570,80.49,80.96,79.71
12/26/14,80.775,10632810,81.02,81.28,80.51
12/24/14,80.77,7685481,81.03,81.43,80.75
12/23/14,80.61,19846990,82.02,82.17,80.4
12/22/14,81.45,31361040,80.08,81.89,80
12/19/14,79.88,43274930,78.75,80,78.33
12/18/14,78.4,34147520,76.89,78.4,76.51
12/17/14,76.11,29142380,75.01,76.41,74.9
12/16/14,74.69,31466710,76.19,77.39,74.59
12/15/14,76.99,29341660,78.46,78.58,76.56
12/12/14,77.83,28049760,77.16,78.88,77.02
12/11/14,77.73,33465080,76.52,78.52,76.48
12/10/14,76.18,32168400,76.65,77.55,76.07
12/9/14,76.84,25307530,75.2,76.93,74.78
12/8/14,76.52,25674150,76.18,77.25,75.4
12/5/14,76.36,24273070,75.8,76.76,75.36
12/4/14,75.24,14369110,74.83,75.55,74.66
12/3/14,74.88,15936750,75.38,75.73,74.4
12/2/14,75.46,16750770,75.33,75.91,75.04
12/1/14,75.1,31747970,77.26,77.31,74.8
11/28/14,77.7,15992040,77.67,78.27,77.23
11/26/14,77.62,32686400,75.53,77.78,75.51
11/25/14,75.63,32199750,74.21,75.74,74.13
11/24/14,74.01,22080500,73.54,74.35,73.35
11/21/14,73.75,23039660,74.5,74.5,73.5
11/20/14,73.6,19128520,72.8,73.99,72.51
11/19/14,73.33,25401630,74.01,74.54,73.11
11/18/14,74.34,20678330,74.45,74.8,73.9
11/17/14,74.24,28669580,74.88,75.655,73.88
11/14/14,74.88,19416910,74.27,74.93,74.04
11/13/14,74.25,26408940,74.74,75.24,73.64
11/12/14,74.72,26497580,74.28,75.14,73.54
11/11/14,74.61,18702040,74.95,74.98,74.03
11/10/14,75,21526460,75.36,75.4799,74.61
11/7/14,75.6,20757430,75.39,75.855,75.02
11/6/14,75.26,21321380,74.89,75.6,74.31
11/5/14,74.83,35853620,76.51,76.8,74.42
11/4/14,75.76,39202820,74.23,75.77,73.65
11/3/14,73.88,40529830,75.47,75.52,73.7
10/31/14,74.99,44472280,74.93,75.7,74.45
10/30/14,74.11,83098240,75.05,75.35,72.9
10/29/14,75.86,105883000,75.45,76.88,74.78
10/28/14,80.77,61137040,80.18,81.16,79.57
10/27/14,80.28,29806870,80.74,80.8,79.76
10/24/14,80.67,32123520,80.2,80.8183,79.32
10/23/14,80.04,34892410,79.38,80.63,79.01
10/22/14,78.37,41799140,78.815,79.85,78.01
10/21/14,78.69,32176370,77.56,78.74,77.15
10/20/14,76.95,34555900,75.6,77.09,75.38
10/17/14,75.95,76263220,74.23,76,73.75
10/16/14,72.63,53456880,70.79,73.35,70.58
10/15/14,73.21,61397390,71.69,73.8,70.32
10/14/14,73.59,50126990,74,74.18,72.05
10/13/14,72.99,43847640,73.23,74.78,72.52
10/10/14,72.91,52068580,75.59,76.5,72.76
10/9/14,75.91,32421030,77.28,77.7601,75.85
