date,close,volume,open,high,low
14:50,46.4969,"14,753,757",47.42,47.54,46.36
1/9/15,47.19,23942750,47.61,47.82,46.9
1/8/15,47.59,29634030,46.75,47.7499,46.72
1/7/15,46.23,29103920,45.98,46.46,45.49
1/6/15,45.65,36434980,46.38,46.749,45.54
1/5/15,46.325,39667400,46.37,46.73,46.25
1/2/15,46.76,27843560,46.66,47.42,46.54
12/31/14,46.45,21551090,46.73,47.44,46.45
12/30/14,47.02,16380820,47.44,47.62,46.84
12/29/14,47.45,14417170,47.7,47.78,47.26
12/26/14,47.88,13197120,48.41,48.41,47.82
12/24/14,48.14,11442790,48.64,48.64,48.08
12/23/14,48.45,23654190,48.37,48.8,48.13
12/22/14,47.98,26561880,47.78,48.12,47.71
12/19/14,47.66,64504160,47.63,48.1,47.17
12/18/14,47.52,40031480,46.58,47.52,46.3386
12/17/14,45.74,34967260,45.05,45.945,44.9
12/16/14,45.16,47764300,45.9,46.34,45.13
12/15/14,46.67,29213490,47.2,47.67,46.55
12/12/14,46.95,34247280,46.78,47.73,46.67
12/11/14,47.17,29060360,47.08,47.74,46.68
12/10/14,46.9,30284690,47.58,47.66,46.7001
12/9/14,47.59,24326090,47.11,47.92,47.05
12/8/14,47.695,26652610,48.26,48.35,47.445
12/5/14,48.42,26705270,48.82,48.97,48.38
12/4/14,48.84,30342050,48.39,49.06,48.2
12/3/14,48.08,23528130,48.44,48.5,47.805
12/2/14,48.46,25768100,48.84,49.05,48.2
12/1/14,48.62,31187680,47.88,48.78,47.71
11/28/14,47.81,21534430,47.95,48.195,47.61
11/26/14,47.75,27162850,47.49,47.99,47.28
11/25/14,47.47,27951120,47.66,47.97,47.45
11/24/14,47.59,34266860,47.99,48,47.39
11/21/14,47.98,42867970,49.02,49.05,47.57
11/20/14,48.7,21486310,48,48.7,47.87
11/19/14,48.22,26166200,48.66,48.7549,47.93
11/18/14,48.74,23938060,49.13,49.325,48.7
11/17/14,49.46,30309630,49.41,49.705,49.14
11/14/14,49.58,29074940,49.74,50.045,49.39
11/13/14,49.61,26207930,48.81,49.645,48.705
11/12/14,48.78,22721330,48.56,48.92,48.52
11/11/14,48.87,22180480,48.85,48.93,48.645
11/10/14,48.89,36364840,48.65,49.15,48.55
11/7/14,48.68,27987700,48.92,48.92,48.2901
11/6/14,48.7,33033070,47.86,48.86,47.79
11/5/14,47.86,22447160,47.8,47.9,47.26
11/4/14,47.57,21287870,47.301,47.73,47.25
11/3/14,47.44,23078100,46.89,47.46,46.73
10/31/14,46.95,35826980,46.94,46.97,46.48
10/30/14,46.05,30040850,46.32,46.32,45.77
10/29/14,46.62,30274720,46.44,46.7,46.34
10/28/14,46.49,29001420,45.86,46.5,45.77
10/27/14,45.91,30319900,45.71,46.1,45.71
10/24/14,46.13,61053110,46.83,46.9,45.18
10/23/14,45.02,43844860,44.62,45.445,44.53
10/22/14,44.38,33570230,45,45.07,44.225
10/21/14,44.88,36234890,44.36,44.975,44.19
10/20/14,44.08,34523930,43.06,44.14,42.81
10/17/14,43.63,40654940,43.2,43.935,42.79
10/16/14,42.74,49007120,42.53,43.08,42.22
10/15/14,43.22,60188290,43,43.39,42.1
10/14/14,43.73,38097300,43.87,44.38,43.56
10/13/14,43.65,37020680,43.82,44.56,43.49
10/10/14,44.03,51877600,45.6,46.12,43.95
10/9/14,45.85,34422150,46.5,46.8,45.74
