date,close,volume,open,high,low
1/12/15,291.54,"1,978,047",297.56,298.51,289.281
1/9/15,296.93,2589914,301.48,302.87,296.68
1/8/15,300.46,3087475,300.32,303.14,296.11
1/7/15,298.42,2630671,297.5,301.28,295.33
1/6/15,295.29,3511003,302.24,303,292.38
1/5/15,302.19,2768215,307.01,308.38,300.85
1/2/15,308.52,2785167,312.58,314.75,306.9601
12/31/14,310.35,2048676,311.55,312.98,310.01
12/30/14,310.3,2091432,309.91,313.94,309.34
12/29/14,312.04,2998390,307.85,314.27,306.58
12/26/14,309.09,2892910,305,310.7799,303.81
12/24/14,303.03,1518107,306.38,307,302.875
12/23/14,306.285,2718349,306.98,307.49,303.252
12/22/14,306.54,3845409,301.94,307.36,301.94
12/19/14,299.9,8613310,296.91,301.54,295.52
12/18/14,297.73,7704984,304.01,304.5,293.25
12/17/14,298.88,4429917,296.37,299.67,293.03
12/16/14,295.06,6489013,304.35,304.49,295.01
12/15/14,306.07,3833767,308.87,310.86,302.15
12/12/14,307.32,3159206,303.99,310.6399,303.01
12/11/14,307.36,3268194,307.89,312.64,306.01
12/10/14,305.84,3243973,312,313.19,304.68
12/9/14,312.5,4032614,302.99,313.639,301.14
12/8/14,306.64,3633879,311.57,316.56,304.821
12/5/14,312.63,3258869,316.8,316.93,310.84
12/4/14,316.93,3293578,315.53,318.59,313.47
12/3/14,316.5,5684164,325.73,326.77,314.36
12/2/14,326.31,2784995,327.5,327.93,323.25
12/1/14,326,4937256,338.12,340.64,325.93
11/28/14,338.64,3051798,336.03,341.26,336.03
11/26/14,333.57,1983512,333.78,334.65,331.75
11/25/14,335.04,2560829,335.27,336.3325,331.28
11/24/14,335.64,2744717,334.78,337.39,333.6
11/21/14,332.63,4459805,335.42,338.33,331.47
11/20/14,330.54,3434710,324,332.67,323.33
11/19/14,326.54,3273627,327.25,328.4,324.02
11/18/14,324.93,3539161,323.99,329.56,323.25
11/17/14,323.05,4774065,326.44,328,318.03
11/14/14,327.82,8874017,317.12,332.88,316.401
11/13/14,316.48,3673404,312,317.89,311.51
11/12/14,311.51,2181448,310.75,312.58,308.79
11/11/14,312.01,3800576,305.94,312.38,303.646
11/10/14,305.11,2802611,300,305.799,300
11/7/14,299.86,2643693,297.82,299.99,296.29
11/6/14,296.64,3749179,296.69,297,292.29
11/5/14,296.52,4671563,303.01,304,294.16
11/4/14,302.81,3424454,303.99,304.25,300.17
11/3/14,305.72,3240753,306.24,308.01,303.24
10/31/14,305.46,4549267,305.15,305.72,301.5
10/30/14,299.07,4047924,293.98,299.74,292.36
10/29/14,294.12,4881538,299.11,299.61,293.0701
10/28/14,295.59,5553280,289.76,298,289.76
10/27/14,289.97,5938196,285.7,290.42,285.02
10/24/14,287.06,19785070,284.4,293.81,284
10/23/14,313.18,8638059,313.4,316.8,311.4
10/22/14,312.97,3124044,315.43,318.98,312.64
10/21/14,315.33,3559258,309.9,315.64,307.07
10/20/14,306.21,3233326,302.95,306.53,302.02
10/17/14,303.64,4399931,307.15,309.2,302.72
10/16/14,302.86,4729261,293.83,306.82,293.83
10/15/14,305.97,5282651,304.35,307.9,299.102
10/14/14,308.31,3382525,308,312.24,305.75
10/13/14,306.45,4360893,309.87,313.2,303.47
10/10/14,311.39,3681172,314.02,317.77,311.38
10/9/14,315.37,3587626,321.49,322.271,314.52
